,Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude
273,2022-11-30,Neubau,3.5,89,425000,"2856 Boécourt, JU",JU,"(47.34811044, 7.2138281200000005)"
274,2022-11-30,Neubau,2.5,67,780000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
275,2022-11-30,Neubau,2.5,72,645000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
276,2022-11-30,Neubau,4.5,113,998000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
277,2022-11-30,Neubau,3.5,78,723000,"Rhihaldenstrasse 14, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
278,2022-11-30,Neubau,3.5,78,575000,"Vordergasse 6, 3858 Hofstetten b. Brienz, BE",BE,"(None, None)"
279,2022-11-30,Neubau,4.0,140,630000,"1584 Villars-le-Grand, VD",VD,"(46.9055732, 6.9902145)"
280,2022-11-30,Neubau,3.5,78,383000,"Rue du Frête 4, 2735 Malleray, BE",BE,"(47.2359777, 7.2725184)"
281,2022-11-30,Neubau,2.5,54,395000,"Druckerstutz 19, 3436 Zollbrück, BE",BE,"(46.9759655, 7.7447005)"
282,2022-11-30,Neubau,4.5,172,835000,"Ringstrasse 1, 3362 Niederönz, BE",BE,"(47.1884181, 7.6970034)"
283,2022-11-30,Neubau,3.5,78,570000,"Vordergasse 6, 3858 Hofstetten b. Brienz, BE",BE,"(None, None)"
284,2022-11-30,Neubau,4.5,115,750000,"Hauptstrasse 64, 8269 Fruthwilen, TG",TG,"(47.659552399999995, 9.06530687106918)"
285,2022-11-30,Neubau,4.5,89,1050000,"Route de Berne 223, 1066 Epalinges, VD",VD,"(46.550182899999996, 6.676837666578775)"
286,2022-11-30,Neubau,3.5,69,800000,"Route de Berne 223, 1066 Epalinges, VD",VD,"(46.550182899999996, 6.676837666578775)"
287,2022-11-30,Neubau,3.5,89,435000,"2856 Boécourt, JU",JU,"(47.34811044, 7.2138281200000005)"
288,2022-11-30,Neubau,4.5,123,1040000,"Rütiweg 2, 3072 Ostermundigen, BE",BE,"(46.9588264, 7.5004636)"
289,2022-11-30,Neubau,5.5,173,1590000,"3065 Bolligen, BE",BE,"(46.97657373600773, 7.499656310729821)"
290,2022-11-30,Neubau,4.5,108,695000,"Parkstrasse 6, 5036 Oberentfelden, AG",AG,"(47.351961200000005, 8.0392198)"
291,2022-11-30,Neubau,5.5,180,1360000,"Myrtenstrasse 8, 5737 Menziken, AG",AG,"(47.239907, 8.1927404)"
292,2022-11-30,Neubau,2.0,109,655000,"Via del Tiglio 18, 6592 S. Antonino, TI",TI,"(46.1562773, 8.9787387)"
293,2022-11-30,Neubau,4.5,122,756400,"Lätschenstrasse 5b, 9204 Andwil SG, SG",SG,"(47.4392519, 9.2689233)"
294,2022-11-30,Neubau,3.5,89,425000,"2856 Boécourt, JU",JU,"(47.34811044, 7.2138281200000005)"
295,2022-11-30,Neubau,2.5,67,780000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
296,2022-11-30,Neubau,2.5,72,645000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
297,2022-11-30,Neubau,4.5,113,998000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
298,2022-11-30,Neubau,3.5,78,723000,"Rhihaldenstrasse 14, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
299,2022-11-30,Neubau,3.5,81,748000,"Rhihaldenstrasse 14, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
300,2022-11-30,Neubau,4.5,112,1023000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
301,2022-11-30,Neubau,4.5,112,1023000,"Rhihaldenstrasse 10, 8193 Eglisau, ZH",ZH,"(47.5720387, 8.5242113)"
302,2022-11-30,Neubau,2.5,60,570000,"Strässli 33, 7203 Trimmis, GR",GR,"(46.9065155, 9.5603752)"
303,2022-11-30,Neubau,3.5,97,830000,"Strässli 33, 7203 Trimmis, GR",GR,"(46.9065155, 9.5603752)"
304,2022-11-30,Neubau,4.5,122,736400,"Lätschenstrasse 5C, 9204 Andwil SG, SG",SG,"(47.4392519, 9.2689233)"
305,2022-11-30,Neubau,3.5,72,490000,"Mühlestrasse 32, 3362 Niederönz, BE",BE,"(47.18909975, 7.6918248500000015)"
306,2022-11-30,Neubau,3.5,84,580000,"Mühlestrasse 32, 3362 Niederönz, BE",BE,"(47.18909975, 7.6918248500000015)"
307,2022-11-30,Neubau,4.5,135,1860000,"Chemin de l'Ochettaz 2, 1025 St-Sulpice VD, VD",VD,"(46.510647399999996, 6.555334262830458)"
308,2022-11-30,Neubau,2.5,66,555000,"Rosenaustrasse 48, 6032 Emmen, LU",LU,"(47.0755855, 8.2879832)"
309,2022-11-30,Neubau,5.5,123,575000,"Longues Royes, 2854 Bassecourt, JU",JU,"(None, None)"
310,2022-11-30,Neubau,2.5,62,310000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
311,2022-11-30,Neubau,4.5,114,795000,"Jungfraustrasse 7, 3613 Steffisburg, BE",BE,"(46.7714965, 7.611676839119468)"
312,2022-11-30,Neubau,5.5,152,719000,"Waldmattenstrasse 6, 3953 Leuk Stadt, VS",VS,"(46.3079772, 7.6382038)"
313,2022-11-30,Neubau,2.5,68,460000,"Mühlestrasse 32, 3362 Niederönz, BE",BE,"(47.18909975, 7.6918248500000015)"
314,2022-11-30,Neubau,3.5,121,795000,"Stationsstrasse 13, 8487 Zell ZH, ZH",ZH,"(47.4415425, 8.820335)"
315,2022-11-30,Neubau,3.5,111,895000,"Rebgasse 100, 2540 Grenchen, SO",SO,"(47.2022472, 7.3983667)"
316,2022-11-30,Neubau,2.5,51,265000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
317,2022-11-30,Neubau,4.5,105,515000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
318,2022-11-30,Neubau,3.5,83,420000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
319,2022-11-30,Neubau,5.5,123,555000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
320,2022-11-30,Neubau,4.5,100,495000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
321,2022-11-30,Neubau,3.5,74,380000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
322,2022-11-30,Neubau,3.5,100,875000,"Grudligweg 2, 6020 Emmenbrücke, LU",LU,"(47.080708900000005, 8.274503466335542)"
323,2022-11-30,Neubau,4.0,128,785000,"Via Riale, 6533 Lumino, TI",TI,"(46.230425, 9.0671523)"
324,2022-11-30,Neubau,2.5,79,410000,"Via Riale, 6533 Lumino, TI",TI,"(46.230425, 9.0671523)"
325,2022-11-30,Neubau,2.5,60,383000,"Via Riale, 6533 Lumino, TI",TI,"(46.230425, 9.0671523)"
326,2022-11-30,Neubau,2.5,67,460000,"Allmendstrasse 74, 2540 Grenchen, SO",SO,"(47.2028122, 7.396515)"
327,2022-11-30,Neubau,4.5,110,1800000,"1071 Chexbres, VD",VD,"(46.48034199025641, 6.782311691025641)"
328,2022-11-30,Neubau,4.5,129,1055000,"Rebgasse 102, 2540 Grenchen, SO",SO,"(47.2022472, 7.3983667)"
329,2022-11-30,Neubau,4.5,93,920000,"1042 Assens, VD",VD,"(46.61274087488372, 6.6219695390697675)"
330,2022-11-30,Neubau,4.5,105,505000,"2854 Bassecourt, JU",JU,"(47.33103021230769, 7.2308091892307695)"
331,2022-11-30,Neubau,2.5,65,348000,"Rue des Grands-Praz 13, 1906 Charrat, VS",VS,"(46.1238841, 7.1351108)"
332,2022-11-30,Neubau,5.5,126,755000,"1737 Plasselb, FR",FR,"(46.734195630487804, 7.251798066341463)"
333,2022-11-30,Neubau,5.5,115,715000,"1737 Plasselb, FR",FR,"(46.734195630487804, 7.251798066341463)"
334,2022-11-30,Neubau,5.5,145,800000,"1737 Plasselb, FR",FR,"(46.734195630487804, 7.251798066341463)"
335,2022-11-30,Neubau,2.5,70,845000,"Avenue de la Vallombreuse 55, 1008 Prilly, VD",VD,"(46.5413492, 6.6086584)"
336,2022-11-30,Neubau,5.5,181,2290000,"Avenue de la Vallombreuse 55, 1008 Prilly, VD",VD,"(46.5413492, 6.6086584)"
337,2022-11-30,Neubau,4.5,126,1130000,"Zurzacherstrasse 40, 5200 Brugg AG, AG",AG,"(47.48834895, 8.214454879264409)"
338,2022-11-30,Neubau,4.5,134,1950000,"1091 Grandvaux, VD",VD,"(46.50076652616279, 6.7177077343023255)"
339,2022-11-30,Neubau,3.5,91,820000,"Seetalstrasse 145, 6032 Emmen, LU",LU,"(47.0830586, 8.308365156881136)"
340,2022-11-30,Neubau,3.5,82,595000,"Jesuitenweg 163, 3900 Brig, VS",VS,"(46.3127546, 7.9757681)"
341,2022-11-30,Neubau,4.5,102,780000,"Bernstrasse 96, 3363 Oberönz, BE",BE,"(47.18025085, 7.69555095)"
342,2022-11-30,Neubau,2.5,51,395000,"Bernstrasse 96, 3363 Oberönz, BE",BE,"(47.18025085, 7.69555095)"
343,2022-11-30,Projet de nouvelle construction,3.5,108,730000,"Bahnhofstrasse 4, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
344,2022-11-30,Projet de nouvelle construction,5.5,150,1040000,"Bahnhofstrasse 4, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
345,2022-11-30,Projet de nouvelle construction,2.5,77,610000,"Bahnhofstrasse 4, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
346,2022-11-30,Construction neuve,2.5,55,660000,"Avenue de la Vallombreuse 55, 1008 Prilly, VD",VD,"(46.5413492, 6.6086584)"
347,2022-11-30,Construction neuve,4.5,117,1370000,"Avenue de la Vallombreuse 55, 1008 Prilly, VD",VD,"(46.5413492, 6.6086584)"
348,2022-11-30,Construction neuve,2.5,57,865000,"Chemin de la Vuachère 2, 1005 Lausanne, VD",VD,"(46.515682600000005, 6.651349900000005)"
349,2022-11-30,Construction neuve,3.5,92,1465000,"Chemin de la Vuachère 2, 1005 Lausanne, VD",VD,"(46.515682600000005, 6.651349900000005)"
350,2022-11-30,Construction neuve,2.5,46,685000,"Chemin de la Vuachère 2, 1005 Lausanne, VD",VD,"(46.515682600000005, 6.651349900000005)"
351,2022-11-30,Construction neuve,3.5,86,1355000,"Chemin de la Vuachère 2, 1005 Lausanne, VD",VD,"(46.515682600000005, 6.651349900000005)"
352,2022-11-30,Construction neuve,4.5,114,1725000,"Chemin de la Vuachère 2, 1005 Lausanne, VD",VD,"(46.515682600000005, 6.651349900000005)"
353,2022-11-30,Construction neuve,3.5,87,635000,"Tramstrasse 71, 5034 Suhr, AG",AG,"(47.3801737, 8.074000349999999)"
354,2022-11-30,Construction neuve,5.5,153,1395000,"Tramstrasse 71, 5034 Suhr, AG",AG,"(47.3801737, 8.074000349999999)"
355,2022-11-30,Construction neuve,5.5,153,1395000,"Tramstrasse 71, 5034 Suhr, AG",AG,"(47.3801737, 8.074000349999999)"
356,2022-11-30,Construction neuve,4.5,105,1170000,"Uttenbergstrasse 30, 8934 Knonau, ZH",ZH,"(47.226377, 8.458169295502984)"
357,2022-11-30,Construction neuve,4.5,194,2300000,"6612 Ascona, TI",TI,"(46.155333166315785, 8.769234411578948)"
358,2022-11-30,Construction neuve,4.5,133,2050000,"1091 Grandvaux, VD",VD,"(46.50076652616279, 6.7177077343023255)"
359,2022-11-30,Construction neuve,4.5,134,2090000,"1091 Grandvaux, VD",VD,"(46.50076652616279, 6.7177077343023255)"
360,2022-11-30,Construction neuve,4.5,133,1950000,"1091 Grandvaux, VD",VD,"(46.50076652616279, 6.7177077343023255)"
361,2022-11-30,Construction neuve,4.5,134,2010000,"1091 Grandvaux, VD",VD,"(46.50076652616279, 6.7177077343023255)"
362,2022-11-30,Projet de nouvelle construction,4.5,111,810000,"Bahnhofstrasse 3, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
363,2022-11-30,Construction neuve,4.5,103,1040000,"1170 Aubonne, VD",VD,"(46.494064529411766, 6.389735411764706)"
364,2022-11-30,Construction neuve,4.5,102,990000,"1170 Aubonne, VD",VD,"(46.494064529411766, 6.389735411764706)"
365,2022-11-30,Neubau,3.5,95,660000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
366,2022-11-30,Neubau,3.5,90,589000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
367,2022-11-30,Neubau,3.5,92,604000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
368,2022-11-30,Neubau,3.5,90,589000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
369,2022-11-30,Neubau,3.5,95,660000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
370,2022-11-30,Neubau,3.5,92,604000,"1965 Savièse, VS",VS,"(46.26065187176991, 7.344268719970502)"
371,2022-11-30,Neubau,4.5,117,1320000,"Talweg 3, 8610 Uster, ZH",ZH,"(47.34535175, 8.731927814989195)"
372,2022-11-30,Neubau,4.5,121,1390000,"Talweg 3, 8610 Uster, ZH",ZH,"(47.34535175, 8.731927814989195)"
373,2022-11-30,Neubau,4.5,242,0,"Rière les Lammes, 2825 Courchapoix, JU",JU,"(None, None)"
374,2022-11-30,Neubau,3.5,96,665000,"Lilienweg 7, 3426 Aefligen, BE",BE,"(47.0935874, 7.5592195)"
375,2022-11-30,Neubauprojekt,3.5,95,690000,"Bahnhofstrasse 3, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
376,2022-11-30,Neubauprojekt,3.5,100,670000,"Bahnhofstrasse 6, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
377,2022-11-30,Neubau,4.5,110,900000,"Rosenaustrasse 48, 6032 Emmen, LU",LU,"(47.0755855, 8.2879832)"
378,2022-11-30,Neubau,8.0,487,5600000,"1095 Lutry, VD",VD,"(46.50719154447495, 6.68896725978037)"
379,2022-11-30,Neubau,5.5,161,1490000,"1950 Sion, VS",VS,"(46.230390014467496, 7.357020468105118)"
380,2022-11-30,Neubau,3.5,73,417000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
381,2022-11-30,Neubau,3.5,78,419000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
382,2022-11-30,Neubau,3.5,78,419000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
383,2022-11-30,Neubau,4.5,95,504000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
384,2022-11-30,Neubau,2.5,58,356000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
385,2022-11-30,Neubau,2.5,58,356000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
386,2022-11-30,Neubau,2.5,55,339000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
387,2022-11-30,Neubau,5.5,122,735000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
388,2022-11-30,Neubau,4.5,95,504000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
389,2022-11-30,Neubau,3.5,82,458000,"Rue Edouard-Dubied 13, 2108 Couvet, NE",NE,"(46.9279977, 6.6350779)"
390,2022-11-30,Neubau,3.5,91,700000,"Via Valle Maggia, 6600 Locarno, TI",TI,"(None, None)"
391,2022-11-30,Neubau,2.5,82,585000,"Lilienweg 7, 3426 Aefligen, BE",BE,"(47.0935874, 7.5592195)"
392,2022-11-30,Neubau,4.5,156,2700000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
393,2022-11-30,Neubau,3.5,113,1550000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
394,2022-11-30,Neubau,3.5,118,1500000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
395,2022-11-30,Neubau,3.5,122,1450000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
396,2022-11-30,Neubau,4.5,158,1980000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
397,2022-11-30,Neubau,4.5,134,1790000,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
398,2022-11-30,Neubau,3.5,95,475000,"Route de Courtételle 1, 2843 Châtillon JU, JU",JU,"(47.3293659, 7.343309)"
399,2022-11-30,Neubau,4.5,102,540000,"Route de Courtételle 1, 2843 Châtillon JU, JU",JU,"(47.3293659, 7.343309)"
400,2022-11-30,Neubau,4.5,89,535000,"Route de Courtételle 1, 2843 Châtillon JU, JU",JU,"(47.3293659, 7.343309)"
401,2022-11-30,Neubau,4.5,163,1050000,"Schlossstrasse 4b, 3067 Boll, BE",BE,"(46.9549386, 7.5446927)"
402,2022-11-30,Neubauprojekt,4.5,143,920000,"Bahnhofstrasse 6, 3067 Boll, BE",BE,"(46.9536891, 7.5474863)"
403,2022-11-30,Neubau,3.5,132,950000,"6616 Losone, TI",TI,"(46.16759601219512, 8.760576409756098)"
404,2022-11-30,Neubau,3.5,94,1222000,"Grampenweg 29, 8180 Bülach, ZH",ZH,"(47.5168349, 8.535016696550846)"
405,2022-11-30,Neubau,3.5,106,1610000,"1012 Lausanne, VD",VD,"(46.525277494412606, 6.654436378510029)"
406,2022-11-30,Neubau,4.5,132,1250000,"6612 Ascona, TI",TI,"(46.155333166315785, 8.769234411578948)"
407,2022-11-30,Neubau,2.5,55,470000,"6612 Ascona, TI",TI,"(46.155333166315785, 8.769234411578948)"
408,2022-11-30,Neubau,4.5,97,710000,"Tramstrasse 71, 5034 Suhr, AG",AG,"(47.3801737, 8.074000349999999)"
409,2022-11-30,Neubau,4.5,116,900000,"Tramstrasse 71, 5034 Suhr, AG",AG,"(47.3801737, 8.074000349999999)"
410,2022-11-30,Neubau,4.5,126,2175000,"Immenweg 23, 8050 Zürich, ZH",ZH,"(47.4095637, 8.530379450000002)"
411,2022-11-30,Neubau,3.5,92,1645000,"Immenweg 23, 8050 Zürich, ZH",ZH,"(47.4095637, 8.530379450000002)"
412,2022-11-30,Neubau,2.5,76,0,"Schafmattweg 104, 4102 Binningen, BL",BL,"(47.529249050000004, 7.569933272233008)"
413,2022-11-30,Neubau,4.5,131,1112000,"1844 Villeneuve VD, VD",VD,"(46.39410503626943, 6.926961813471502)"
414,2022-11-30,Neubau,5.0,156,1750800,"Route de Grand-Combe 105, 3961 Grimentz, VS",VS,"(46.1816531, 7.573974)"
415,2022-11-30,Neubau,4.0,96,1070000,"1251 Gy, GE",GE,"(46.25237474, 6.2584395200000005)"
416,2022-11-30,Neubau,4.5,129,1290000,"Via Trisnera, 6616 Losone, TI",TI,"(46.1696305, 8.7602686)"
417,2022-11-30,Neubau,4.5,119,990000,"Via Trisnera, 6616 Losone, TI",TI,"(46.1696305, 8.7602686)"
418,2022-11-30,Neubau,4.5,114,720000,"Hauptstrasse 1, 8585 Schönenbaumgarten, TG",TG,"(47.614731199999994, 9.230744658165047)"
419,2022-11-30,Neubau,3.5,100,1050000,"9032 Engelburg, SG",SG,"(47.4387453, 9.3481584)"
420,2022-11-30,Neubau,5.5,157,1080000,"Eichenweg 2, 4600 Olten, SO",SO,"(47.3419958, 7.9051369000000005)"
421,2022-11-30,Neubau,3.5,108,798000,"Via Muraccio, 6987 Caslano, TI",TI,"(45.9775629, 8.8765106)"
422,2022-11-30,Neubau,4.5,200,4500000,"1095 Lutry, VD",VD,"(46.50719154447495, 6.68896725978037)"
423,2022-11-30,Neubau,2.0,81,806700,"Route de Grand-Combe 105, 3961 Grimentz, VS",VS,"(46.1816531, 7.573974)"
424,2022-11-30,Neubau,4.5,123,890000,"Gartenstrasse, 4242 Laufen, BL",BL,"(47.4224637, 7.4881321)"
425,2022-11-30,Neubau,4.5,123,905000,"Gartenstrasse, 4242 Laufen, BL",BL,"(47.4224637, 7.4881321)"
426,2022-11-30,Neubau,4.5,123,925000,"Gartenstrasse, 4242 Laufen, BL",BL,"(47.4224637, 7.4881321)"
427,2022-11-30,Neubau,4.5,160,1740000,"1802 Corseaux, VD",VD,"(46.46921234307692, 6.828576695384616)"
428,2022-11-30,Neubau,5.0,139,2030000,"1212 Grand-Lancy, GE",GE,"(46.1758901, 6.1226129)"
429,2022-11-30,Neubau,3.5,116,890000,"9032 Engelburg, SG",SG,"(47.4387453, 9.3481584)"
430,2022-11-30,Neubau,3.5,113,1015000,"Jesuitenweg 165, 3900 Brig, VS",VS,"(46.3127546, 7.9757681)"
431,2022-11-30,Neubau,4.5,112,740000,"Weidweg 7, 9470 Buchs SG, SG",SG,"(47.1453372, 9.4862493)"
432,2022-11-30,Neubau,2.5,50,355000,"Schulhausgässli 1, 3535 Schüpbach, BE",BE,"(46.928363000000004, 7.737354395422539)"
433,2022-11-30,Neubau,3.5,113,690000,"Schlossmattweg 2, 4413 Büren SO, SO",SO,"(47.44829265, 7.6743822999999995)"
434,2022-11-30,Neubau,2.5,86,469000,"Viale Serfontana, 6834 Morbio Inferiore, TI",TI,"(45.8457091, 9.0166515)"
435,2022-11-30,Neubau,3.5,118,620000,"Chemin de la Piantséta, 1731 Ependes FR, FR",FR,"(46.7600209, 7.1549238)"
436,2022-11-30,Neubau,4.0,142,790000,"Chemin de la Piantséta, 1731 Ependes FR, FR",FR,"(46.7600209, 7.1549238)"
437,2022-11-30,Neubau,4.0,157,2320000,"Crans-Montana, 3963 Crans-Montana, VS",VS,"(46.33806774999999, 7.502476780512248)"
438,2022-11-30,Neubau,4.0,268,4300000,"Crans-Montana, 3963 Crans-Montana, VS",VS,"(46.33806774999999, 7.502476780512248)"
439,2022-11-30,Neubau,3.5,118,620000,"Chemin de la Piantséta, 1731 Ependes FR, FR",FR,"(46.7600209, 7.1549238)"
440,2022-11-30,Neubau,4.0,142,790000,"Chemin de la Piantséta, 1731 Ependes FR, FR",FR,"(46.7600209, 7.1549238)"
441,2022-11-30,Neubau,4.5,131,1160000,"Jesuitenweg 163, 3900 Brig, VS",VS,"(46.3127546, 7.9757681)"
442,2022-11-30,Neubau,3.5,110,1125000,"6026 Rain, LU",LU,"(47.12771108035191, 8.253601365982405)"
443,2022-11-30,Neubau,4.5,125,560000,"Via Sottobisio 17B, 6828 Balerna, TI",TI,"(45.8435966, 9.0072495)"
444,2022-11-30,Neubau,4.5,92,515000,"La Cua 7, 1563 Dompierre FR, FR",FR,"(46.851096600000005, 6.993408699183347)"
445,2022-11-30,Neubau,3.5,106,775000,"6500 Bellinzona, TI",TI,"(46.1933488, 9.0261483)"
446,2022-11-30,Neubau,2.5,66,415500,"Frohmattweg, 5012 Schönenwerd, SO",SO,"(47.3677191, 8.0015622)"
447,2022-11-30,Neubau,5.5,179,0,"7513 Silvaplana, GR",GR,"(46.459258627320956, 9.802238753580902)"
448,2022-11-30,Neubau,3.5,121,1015000,"Via Cosliva 23, 6926 Montagnola, TI",TI,"(45.986937, 8.9125675)"
449,2022-11-30,Neubau,4.5,180,2600000,"Rue du village 13, 1874 Champéry, VS",VS,"(46.1771655, 6.8686893)"
450,2022-11-30,Neubau,5.5,134,1095000,"Ischenstrasse 7, 6376 Emmetten, NW",NW,"(46.9557267, 8.509787)"
451,2022-11-30,Neubau,3.5,100,520000,"Schulhausgässli 1, 3535 Schüpbach, BE",BE,"(46.928363000000004, 7.737354395422539)"
452,2022-11-30,Neubau,4.5,139,686700,"Route de Bramois 50, 1967 Bramois, VS",VS,"(46.2291811, 7.4014961)"
453,2022-11-30,Neubau,2.5,84,377220,"Rue du Simplon 28, 1907 Saxon, VS",VS,"(None, None)"
454,2022-11-30,serp_responsive#badge_new_building_lite,3.5,82,445000,"La Cua 7, 1563 Dompierre FR, FR",FR,"(46.851096600000005, 6.993408699183347)"
455,2022-11-30,serp_responsive#badge_new_building_lite,2.5,56,650000,"6648 Minusio, TI",TI,"(46.178578073809526, 8.826198778571428)"
456,2022-11-30,serp_responsive#badge_new_building_lite,3.5,121,1610000,"6648 Minusio, TI",TI,"(46.178578073809526, 8.826198778571428)"
457,2022-11-30,serp_responsive#badge_new_building_lite,5.5,248,775000,"Zürichstrasse 3c, 4922 Bützberg, BE",BE,"(47.2167137, 7.7519433)"
458,2022-11-30,serp_responsive#badge_new_building_lite,5.5,126,771500,"Frohmattweg, 5012 Schönenwerd, SO",SO,"(47.3677191, 8.0015622)"
459,2022-11-30,serp_responsive#badge_new_building_lite,4.5,94,820000,"Im Zentrum 11, 3322 Urtenen-Schönbühl, BE",BE,"(None, None)"
460,2022-11-30,serp_responsive#badge_new_building_lite,4.5,171,1680000,"Via Cosliva 23, 6926 Montagnola, TI",TI,"(45.986937, 8.9125675)"
461,2022-11-30,serp_responsive#badge_new_building_lite,4.5,110,995000,"Flüestrasse 34, 5313 Klingnau, AG",AG,"(47.5794837, 8.2569683)"
462,2022-11-30,serp_responsive#badge_new_building_lite,2.5,71,380000,"Rte de Lentigny 10, 1741 Cottens FR, FR",FR,"(46.7556562, 7.0265251)"
463,2022-11-30,serp_responsive#badge_new_building_lite,1.5,27,184000,"3967 Vercorin, VS",VS,"(46.2571655, 7.530704)"
464,2022-11-30,serp_responsive#badge_new_building_lite,5.5,238,0,"1803 Chardonne, VD",VD,"(46.477407160000006, 6.82901125)"
465,2022-11-30,serp_responsive#badge_new_building,4.5,113,745000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)"
466,2022-11-30,serp_responsive#badge_new_building_lite,4.5,100,770000,"Ackernweg  2, 7320 Sargans, SG",SG,"(47.0548196, 9.447821)"
467,2022-11-30,serp_responsive#badge_new_building_lite,4.5,100,770000,"Ackernweg 2, 7320 Sargans, SG",SG,"(47.0548196, 9.447821)"
468,2022-11-30,serp_responsive#badge_new_building_lite,1.5,61,555000,"Via Cosliva 23, 6926 Montagnola, TI",TI,"(45.986937, 8.9125675)"
469,2022-11-30,serp_responsive#badge_new_building,3.5,108,930000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)"
470,2022-11-30,serp_responsive#badge_new_building_lite,4.5,112,694400,"Chemin d'Arche 30, 1870 Monthey, VS",VS,"(46.260273600000005, 6.955176749999998)"
471,2022-11-30,serp_responsive#badge_new_building_lite,4.5,112,678720,"Chemin d'Arche 30, 1870 Monthey, VS",VS,"(46.260273600000005, 6.955176749999998)"
472,2022-11-30,serp_responsive#badge_new_building_lite,4.5,105,800000,"5070 Frick, AG",AG,"(47.5069317306914, 8.021244800758854)"
473,2022-11-30,serp_responsive#badge_new_building_lite,2.5,49,357000,"Rte de l'Ecole 5, 1725 Posieux, FR",FR,"(46.7638961, 7.0926655)"
474,2022-11-30,serp_responsive#badge_new_building_lite,2.5,200,995000,"6828 Balerna, TI",TI,"(45.84489249278351, 9.00925825257732)"
475,2022-11-30,serp_responsive#badge_new_building_lite,4.5,148,1390000,"Dornachstrasse, 9443 Widnau, SG",SG,"(47.4134122, 9.6334576)"
