Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse
2022-12-11,serp_responsive#badge_new_building_lite,"3,5 Zimmer",82 m²,CHF 635 000.—,"8590 Romanshorn, TG"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",116 m²,CHF 900 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"5,5 Zimmer",153 m²,CHF 1 395 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",97 m²,CHF 710 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",97 m²,CHF 710 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"3,5 Zimmer",87 m²,CHF 635 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"3,5 Zimmer",87 m²,CHF 635 000.—,"Tramstrasse 71, 5034 Suhr, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"3,5 Zimmer",78 m²,CHF 780 000.—,"Chemin du Belvédère, 1030 Bussigny, VD"
2022-12-11,serp_responsive#badge_new_building_lite,"2,5 Zimmer",55 m²,CHF 440 000.—,"Hübeli 377a, 3550 Langnau im Emmental, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",112 m²,CHF 770 000.—,"Hübeli 377a, 3550 Langnau im Emmental, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"5,5 Zimmer",130 m²,CHF 850 000.—,"Hübeli 377a, 3550 Langnau im Emmental, BE"
2022-12-11,serp_responsive#badge_new_building_lite,n/a,n/a,CHF 880 000.—,"Stationsstrasse 11C, 3628 Uttigen, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"3,5 Zimmer",91 m²,CHF 575 000.—,"Haupstrasse 18, 8225 Siblingen, SH"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",135 m²,CHF 1 090 000.—,"Eggetlistrasse, 3770 Zweisimmen, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",108 m²,CHF 970 000.—,"Papillonallee 42, 3172 Niederwangen b. Bern, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",124 m²,CHF 1 590 000.—,"Riedweg 3, 4800 Zofingen, AG"
2022-12-11,serp_responsive#badge_new_building_lite,"5,5 Zimmer",250 m²,CHF 4 250 000.—,"1820 Montreux, VD"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",111 m²,CHF 1 490 000.—,"Route de Saint-Cergue, 1268 Begnins, VD"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",127 m²,CHF 1 770 000.—,"Route de Saint-Cergue, 1268 Begnins, VD"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",125 m²,CHF 620 000.—,"Rue du Château, 2720 Tramelan, BE"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",113 m²,CHF 695 000.—,"Hauptstrasse 16, 8225 Siblingen, SH"
2022-12-11,serp_responsive#badge_new_building_lite,"4,5 Zimmer",109 m²,CHF 675 000.—,"Hauptstrasse 16, 8225 Siblingen, SH"
2022-12-11,Neubau,"3,5 Zimmer",100 m²,CHF 885 000.—,"Flüestrasse 34, 5313 Klingnau, AG"
2022-12-11,Neubau,"4,5 Zimmer",147 m²,CHF 1 580 000.—,"Zelgstrasse  4, 8725 Gebertingen, SG"
2022-12-11,Neubau,"4,5 Zimmer",113 m²,CHF 1 800 000.—,"Prätschlistrasse 1, 7050 Arosa, GR"
2022-12-11,Neubau,5 Zimmer,122 m²,CHF 2 300 000.—,"Prätschlistrasse 1, 7050 Arosa, GR"
2022-12-11,Neubau,"3,5 Zimmer",99 m²,CHF 1 600 000.—,"Prätschlistrasse 1, 7050 Arosa, GR"
2022-12-11,Neubau,"4,5 Zimmer",80 m²,CHF 1 500 000.—,"Prätschlistrasse 1, 7050 Arosa, GR"
2022-12-11,Neubau,"4,5 Zimmer",159 m²,CHF 1 025 000.—,"1941 Vollèges, VS"
2022-12-11,Neubau,"3,5 Zimmer",86 m²,CHF 570 000.—,"Route de Vermala, 3963 Crans-Montana, VS"
2022-12-11,Neubau,"3,5 Zimmer",102 m²,CHF 495 000.—,"Gassenacherweg, 4914 Roggwil BE, BE"
2022-12-11,Neubau,"3,5 Zimmer",102 m²,CHF 530 000.—,"Rue Hermann Geiger, 1950 Sion, VS"
2022-12-11,Neubau,"4,5 Zimmer",152 m²,CHF 695 000.—,"1904 Vernayaz, VS"
2022-12-11,Neubau,"2,5 Zimmer",67 m²,CHF 620 000.—,"Via Ballerini, 6600 Locarno, TI"
2022-12-11,Neubau,"2,5 Zimmer",56 m²,CHF 370 000.—,"Imp. de Chantemerle 12-14, 1728 Rossens FR, FR"
2022-12-11,Neubau,"3,5 Zimmer",127 m²,CHF 744 940.—,"1965 Savièse, VS"
2022-12-11,Neubau,"2,5 Zimmer",78 m²,CHF 434 730.—,"1965 Savièse, VS"
2022-12-11,Neubau,"4,5 Zimmer",153 m²,CHF 904 940.—,"1965 Savièse, VS"
2022-12-11,Neubau,"3,5 Zimmer",133 m²,CHF 765 270.—,"1965 Savièse, VS"
2022-12-11,Neubau,"4,5 Zimmer",133 m²,CHF 1 365 000.—,"3963 Crans-Montana, VS"
2022-12-11,Neubauprojekt,"3,5 Zimmer",93 m²,CHF 795 000.—,"Balatrain 13, 7304 Maienfeld, GR"
2022-12-11,Neubauprojekt,"3,5 Zimmer",93 m²,CHF 985 000.—,"Balatrain 25, 7304 Maienfeld, GR"
2022-12-11,Neubauprojekt,"4,5 Zimmer",118 m²,CHF 1 005 000.—,"Balatrain 13, 7304 Maienfeld, GR"
2022-12-11,Neubauprojekt,"4,5 Zimmer",120 m²,CHF 1 235 000.—,"Balatrain 21, 7304 Maienfeld, GR"
2022-12-11,Neubau,"4,5 Zimmer",201 m²,CHF 990 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"4,5 Zimmer",129 m²,CHF 740 000.—,"Sous l'Eglise, 2043 Boudevilliers, NE"
2022-12-11,Neubau,"4,5 Zimmer",129 m²,CHF 730 000.—,"Sous l'Eglise, 2043 Boudevilliers, NE"
2022-12-11,Neubau,"4,5 Zimmer",129 m²,CHF 750 000.—,"Sous l'Eglise, 2043 Boudevilliers, NE"
2022-12-11,Neubau,"3,5 Zimmer",85 m²,CHF 695 000.—,"1723 Marly, FR"
2022-12-11,Neubau,"4,5 Zimmer",99 m²,CHF 765 000.—,"1723 Marly, FR"
2022-12-11,Neubau,"4,5 Zimmer",99 m²,CHF 765 000.—,"1723 Marly, FR"
2022-12-11,Neubauprojekt,"4,5 Zimmer",113 m²,CHF 745 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubau,"3,5 Zimmer",126 m²,CHF 711 960.—,"1965 Savièse, VS"
2022-12-11,Neubau,"3,5 Zimmer",99 m²,CHF 475 000.—,"Gassenacherweg, 4914 Roggwil BE, BE"
2022-12-11,Neubau,"4,5 Zimmer",135 m²,CHF 650 000.—,"Gassenacherweg, 4914 Roggwil BE, BE"
2022-12-11,Neubau,"2,5 Zimmer",79 m²,CHF 388 000.—,"Gassenacherweg, 4914 Roggwil BE, BE"
2022-12-11,Neubau,"5,5 Zimmer",153 m²,CHF 905 000.—,"Gassenacherweg, 4914 Roggwil BE, BE"
2022-12-11,Neubau,"4,5 Zimmer",104 m²,CHF 590 000.—,"Route de Crans-Montana 61, 3960 Corin-de-la-Crête, VS"
2022-12-11,Neubau,"4,5 Zimmer",139 m²,CHF 600 000.—,"Le Bourg 39, 2950 Courgenay, JU"
2022-12-11,Neubauprojekt,"3,5 Zimmer",108 m²,CHF 930 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubau,"4,5 Zimmer",123 m²,CHF 835 000.—,"6616 Losone, TI"
2022-12-11,Neubau,"4,5 Zimmer",160 m²,CHF 940 000.—,"3930 Visp, VS"
2022-12-11,Neubau,"3,5 Zimmer",n/a,Preis auf Anfrage,"Juraweg 2, 4629 Fulenbach, SO"
2022-12-11,Neubau,"5,5 Zimmer",216 m²,CHF 1 050 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"3,5 Zimmer",164 m²,CHF 750 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"2,5 Zimmer",86 m²,CHF 470 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"3,5 Zimmer",125 m²,CHF 600 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"5,5 Zimmer",235 m²,CHF 1 100 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"3,5 Zimmer",110 m²,CHF 580 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"4,5 Zimmer",175 m²,CHF 750 000.—,"Meichten, 6147 Altbüron, LU"
2022-12-11,Neubau,"4,5 Zimmer",n/a,Preis auf Anfrage,"Im Wölfli, 8240 Thayngen, SH"
2022-12-11,Neubau,"4,5 Zimmer",126 m²,CHF 1 027 000.—,"6596 Gordola, TI"
2022-12-11,Neubau,"3,5 Zimmer",112 m²,CHF 745 000.—,"Bromeggstrasse, 4562 Biberist, SO"
2022-12-11,Neubau,"4,5 Zimmer",n/a,CHF 795 000.—,"Bromeggstrasse, 4562 Biberist, SO"
2022-12-11,Neubau,1 Zimmer,31 m²,CHF 360 000.—,"1032 Romanel-sur-Lausanne, VD"
2022-12-11,Neubau,1 Zimmer,33 m²,CHF 365 000.—,"1032 Romanel-sur-Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",96 m²,CHF 945 000.—,"Libellenstrasse, 4104 Oberwil BL, BL"
2022-12-11,Neubau,"3,5 Zimmer",87 m²,CHF 890 000.—,"1270 Trélex, VD"
2022-12-11,Neubau,"1,5 Zimmer",48 m²,CHF 510 000.—,"1270 Trélex, VD"
2022-12-11,Neubau,"4,5 Zimmer",102 m²,CHF 1 140 000.—,"1270 Trélex, VD"
2022-12-11,Neubau,"2,5 Zimmer",62 m²,CHF 690 000.—,"1270 Trélex, VD"
2022-12-11,Neubau,"5,5 Zimmer",176 m²,CHF 1 690 000.—,"1270 Trélex, VD"
2022-12-11,Neubau,"5,5 Zimmer",112 m²,CHF 675 000.—,"3974 Mollens VS, VS"
2022-12-11,Neubau,"3,5 Zimmer",116 m²,CHF 490 000.—,"Le Bourg 39, 2950 Courgenay, JU"
2022-12-11,Neubau,"4,5 Zimmer",104 m²,CHF 590 000.—,"3960 Corin-de-la-Crête, VS"
2022-12-11,Neubauprojekt,"4,5 Zimmer",127 m²,CHF 832 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",77 m²,CHF 649 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",98 m²,CHF 870 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",116 m²,CHF 1 020 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",130 m²,CHF 1 060 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",109 m²,CHF 820 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",131 m²,CHF 1 100 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",111 m²,CHF 880 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"5,5 Zimmer",146 m²,CHF 926 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",118 m²,CHF 990 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",113 m²,CHF 955 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",125 m²,CHF 908 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"3,5 Zimmer",116 m²,CHF 865 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",121 m²,CHF 820 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",109 m²,CHF 925 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"5,5 Zimmer",159 m²,CHF 985 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",137 m²,CHF 820 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",146 m²,CHF 960 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubauprojekt,"4,5 Zimmer",114 m²,CHF 860 000.—,"Schwendetalstrasse, 9057 Schwende, AI"
2022-12-11,Neubau,"3,5 Zimmer",93 m²,CHF 535 000.—,"Chemin des Grands-Prés, 1896 Vouvry, VS"
2022-12-11,Neubau,"4,5 Zimmer",119 m²,CHF 940 000.—,"Hinterdorfstrasse, 5707 Seengen, AG"
2022-12-11,Neubau,"5,5 Zimmer",129 m²,CHF 1 060 000.—,"Hinterdorfstrasse, 5707 Seengen, AG"
2022-12-11,Neubau,"5,5 Zimmer",140 m²,CHF 685 000.—,"2054 Chézard-St-Martin, NE"
2022-12-11,Neubau,"4,5 Zimmer",150 m²,CHF 740 000.—,"Lampertshalten, 1713 St. Antoni, FR"
2022-12-11,n/a,"4,5 Zimmer",97 m²,CHF 1 460 000.—,"1196 Gland, VD"
2022-12-11,n/a,"4,5 Zimmer",97 m²,CHF 1 360 000.—,"1196 Gland, VD"
2022-12-11,n/a,"3,5 Zimmer",87 m²,CHF 1 130 000.—,"1196 Gland, VD"
2022-12-11,n/a,"4,5 Zimmer",126 m²,CHF 1 260 000.—,"Haldenstrasse 1a, 9524 Zuzwil SG, SG"
2022-12-11,n/a,"4,5 Zimmer",116 m²,CHF 710 000.—,"Bernstrasse 77, 3122 Kehrsatz, BE"
2022-12-11,n/a,"4,5 Zimmer",77 m²,CHF 360 000.—,"1920 Martigny, VS"
2022-12-11,n/a,"3,5 Zimmer",84 m²,CHF 310 000.—,"Rue Plantassage 4, 3976 Noës, VS"
2022-12-11,n/a,"2,5 Zimmer",58 m²,CHF 235 000.—,"Les Tauges 25, 1973 Nax, VS"
2022-12-11,Neubau,"2,5 Zimmer",82 m²,CHF 585 000.—,"Lilienweg 7, 3426 Aefligen, BE"
2022-12-11,Neubau,"4,5 Zimmer",123 m²,CHF 799 000.—,"Untere Harfenbergstrasse 2, 9100 Herisau, AR"
2022-12-11,n/a,"5,5 Zimmer",163 m²,CHF 789 500.—,"Termerweg 21, 3900 Brig, VS"
2022-12-11,n/a,"4,5 Zimmer",170 m²,CHF 1 595 000.—,"Spinnereistrasse 6, 5210 Windisch, AG"
2022-12-11,n/a,"7,5 Zimmer",255 m²,CHF 4 250 000.—,"Rue de la Cloche 6, 1201 Genève, GE"
2022-12-11,n/a,"4,5 Zimmer",141 m²,CHF 695 000.—,"Kleinfeldstrasse 4, 4652 Winznau, SO"
2022-12-11,n/a,"4,5 Zimmer",138 m²,CHF 1 950 000.—,"Burgunderstrasse 14, 4410 Liestal, BL"
2022-12-11,Neubau,"4,5 Zimmer",92 m²,CHF 660 000.—,"Vordergasse 8, 3858 Hofstetten b. Brienz, BE"
2022-12-11,n/a,"4,5 Zimmer",110 m²,Preis auf Anfrage,"Brühlstrasse 127, 4500 Solothurn, SO"
2022-12-11,n/a,1 Zimmer,31 m²,CHF 250 000.—,"Fischermätteliweg 12, 3400 Burgdorf, BE"
2022-12-11,n/a,"3,5 Zimmer",109 m²,CHF 800 500.—,"3963 Crans-Montana, VS"
2022-12-11,n/a,"3,5 Zimmer",85 m²,CHF 478 000.—,"1964 Conthey, VS"
2022-12-11,n/a,"4,5 Zimmer",122 m²,CHF 658 000.—,"1950 Sion, VS"
2022-12-11,n/a,"4,5 Zimmer",171 m²,CHF 2 227 800.—,"1978 Lens, VS"
2022-12-11,n/a,"3,5 Zimmer",108 m²,CHF 1 156 000.—,"3963 Crans-Montana, VS"
2022-12-11,n/a,"1,5 Zimmer",39 m²,CHF 203 000.—,"1958 Uvrier, VS"
2022-12-11,n/a,"4,5 Zimmer",139 m²,CHF 686 700.—,"1950 Sion, VS"
2022-12-11,Neubau,"2,5 Zimmer",68 m²,CHF 460 000.—,"Mühlestrasse 32, 3362 Niederönz, BE"
2022-12-11,n/a,"4,5 Zimmer",164 m²,CHF 1 250 000.—,"Beundenstrasse 1, 3063 Ittigen, BE"
2022-12-11,Neubau,"4,5 Zimmer",120 m²,CHF 675 000.—,"Allmend 3, 3504 Oberhünigen, BE"
2022-12-11,n/a,3 Zimmer,66 m²,CHF 695 000.—,"1820 Territet, VD"
2022-12-11,n/a,"4,5 Zimmer",106 m²,CHF 1 250 000.—,"1008 Prilly, VD"
2022-12-11,n/a,"3,5 Zimmer",106 m²,CHF 795 000.—,"1820 Veytaux, VD"
2022-12-11,n/a,"5,5 Zimmer",131 m²,CHF 795 000.—,"Bettenstrasse 21, 9212 Arnegg, SG"
2022-12-11,n/a,"5,5 Zimmer",148 m²,CHF 880 000.—,"Flawilerstrasse 50, 9242 Oberuzwil, SG"
2022-12-11,n/a,"5,5 Zimmer",155 m²,CHF 1 240 000.—,"chemin du Gibloux 23, 1630 Bulle, FR"
2022-12-11,n/a,"3,5 Zimmer",71 m²,CHF 450 000.—,"Langsamstigstrasse 7, 5600 Lenzburg, AG"
2022-12-11,n/a,"5,5 Zimmer",133 m²,CHF 518 500.—,"Route d'Evolène 56, 1981 Vex, VS"
2022-12-11,n/a,4 Zimmer,100 m²,CHF 1 040 000.—,"Schäfligrabenstrasse 25, 8304 Wallisellen, ZH"
2022-12-11,n/a,"4,5 Zimmer",193 m²,CHF 1 240 000.—,"Bachserstrasse 17, 8162 Steinmaur, ZH"
2022-12-11,n/a,"4,5 Zimmer",153 m²,CHF 1 280 000.—,"1273 Arzier-Le Muids, VD"
2022-12-11,n/a,"2,5 Zimmer",60 m²,CHF 370 000.—,"Wasgenring 92, 4055 Basel, BS"
2022-12-11,n/a,"4,5 Zimmer",130 m²,CHF 1 420 000.—,"8640 Rapperswil SG, SG"
2022-12-11,n/a,"5,5 Zimmer",135 m²,Preis auf Anfrage,"Geriwil 24, 1715 Alterswil FR, FR"
2022-12-11,n/a,"4,5 Zimmer",146 m²,CHF 680 000.—,"Rotbergstrasse 5, 4116 Metzerlen, SO"
2022-12-11,n/a,"3,5 Zimmer",107 m²,CHF 890 000.—,"6600 Locarno, TI"
2022-12-11,n/a,"2,5 Zimmer",100 m²,CHF 590 000.—,"Schützenstrasse 13, 4552 Derendingen, SO"
2022-12-11,n/a,"4,5 Zimmer",154 m²,CHF 1 386 000.—,"Solothurnstrasse 45, 3322 Urtenen-Schönbühl, BE"
2022-12-11,n/a,"4,5 Zimmer",105 m²,CHF 690 000.—,"6952 Canobbio, TI"
2022-12-11,n/a,"3,5 Zimmer",94 m²,CHF 690 000.—,"Im Buck 3, 8478 Thalheim an der Thur, ZH"
2022-12-11,n/a,"2,5 Zimmer",51 m²,CHF 390 000.—,"Büchelstrasse 3, 9443 Widnau, SG"
2022-12-11,n/a,"2,5 Zimmer",70 m²,CHF 510 000.—,"Chemin de la coula 50, 1618 Châtel-St-Denis, FR"
2022-12-11,n/a,"4,5 Zimmer",105 m²,CHF 865 000.—,"Ober-Kuonimattweg 22, 6010 Kriens, LU"
2022-12-11,n/a,"4,5 Zimmer",120 m²,CHF 579 000.—,"Büetigenstrasse 32, 3292 Busswil BE, BE"
2022-12-11,n/a,"3,5 Zimmer",87 m²,CHF 405 000.—,"6834 Morbio Inferiore, TI"
2022-12-11,n/a,"4,5 Zimmer",176 m²,CHF 1 800 000.—,"6900 Lugano, TI"
2022-12-11,n/a,"5,5 Zimmer",125 m²,CHF 700 000.—,"Iseliguet 1, 8750 Glarus, GL"
2022-12-11,n/a,"2,5 Zimmer",65 m²,CHF 730 000.—,"1010 Lausanne, VD"
2022-12-11,n/a,"5,5 Zimmer",171 m²,CHF 890 000.—,"Route du Pont Rouge, 1870 Monthey, VS"
2022-12-11,n/a,"3,5 Zimmer",132 m²,CHF 695 000.—,"Route du Pont Rouge, 1870 Monthey, VS"
2022-12-11,n/a,"1,5 Zimmer",37 m²,CHF 204 000.—,"Avenue des Alpes 15, 3960 Sierre, VS"
2022-12-11,n/a,"3,5 Zimmer",100 m²,CHF 920 000.—,"Via Eco 33, 6644 Orselina, TI"
2022-12-11,n/a,"4,5 Zimmer",118 m²,CHF 1 090 000.—,"alte stockstrasse 9, 5022 Rombach, AG"
2022-12-11,n/a,"4,5 Zimmer",130 m²,CHF 395 000.—,"2610 St-Imier, BE"
2022-12-11,Neubau,"4,5 Zimmer",154 m²,CHF 930 000.—,"1947 Champsec, VS"
2022-12-11,n/a,7 Zimmer,142 m²,CHF 650 000.—,"1937 Orsières, VS"
2022-12-11,n/a,"4,5 Zimmer",107 m²,CHF 680 000.—,"1920 Martigny, VS"
2022-12-11,n/a,5 Zimmer,155 m²,CHF 2 190 000.—,"1201 Genève, GE"
2022-12-11,n/a,"3,5 Zimmer",84 m²,CHF 490 000.—,"2533 Evilard, BE"
2022-12-11,n/a,"4,5 Zimmer",111 m²,CHF 530 000.—,"Gillhofstrasse 2, 8554 Bonau, TG"
2022-12-11,n/a,"5,5 Zimmer",151 m²,CHF 695 000.—,"Gillhofstrasse 2, 8554 Bonau, TG"
2022-12-11,n/a,"4,5 Zimmer",143 m²,CHF 849 000.—,"Eigerweg 26, 4912 Aarwangen, BE"
2022-12-11,n/a,"5,5 Zimmer",196 m²,CHF 1 090 000.—,"2540 Grenchen, SO"
2022-12-11,Neubau,3 Zimmer,95 m²,CHF 750 000.—,"Via Pree 8, 6900 Lugano, TI"
2022-12-11,n/a,5 Zimmer,160 m²,CHF 1 250 000.—,"Via al Nido 7, 6900 Lugano, TI"
2022-12-11,n/a,3 Zimmer,69 m²,CHF 509 000.—,"Via Industria 6B, 6900 Lugano, TI"
2022-12-11,n/a,"5,5 Zimmer",155 m²,CHF 420 000.—,"Rue des Champs 11, 2300 La Chaux-de-Fonds, NE"
2022-12-11,n/a,"3,5 Zimmer",n/a,CHF 890 000.—,"Chemin de la Fauvette 24, 1012 Lausanne, VD"
2022-12-11,n/a,"4,5 Zimmer",144 m²,CHF 2 230 000.—,"Höhenweg 24, 5035 Unterentfelden, AG"
2022-12-11,n/a,5 Zimmer,120 m²,CHF 1 500 000.—,"chemin du Daru 37, 1228 Plan-les-Ouates, GE"
2022-12-11,n/a,"1,5 Zimmer",41 m²,CHF 395 000.—,"Weinbergstrasse 10, 8212 Neuhausen am Rheinfall, SH"
2022-12-11,n/a,"4,5 Zimmer",136 m²,CHF 715 000.—,"1885 Chesières, VD"
2022-12-11,n/a,"4,5 Zimmer",107 m²,CHF 1 265 000.—,"1802 Corseaux, VD"
2022-12-11,n/a,"4,5 Zimmer",80 m²,CHF 420 000.—,"1854 Leysin, VD"
2022-12-11,n/a,"4,5 Zimmer",107 m²,CHF 1 265 000.—,"1800 Vevey, VD"
2022-12-11,n/a,"3,5 Zimmer",90 m²,CHF 480 000.—,"1896 Vouvry, VS"
2022-12-11,n/a,"7,5 Zimmer",155 m²,CHF 1 890 000.—,"1820 Montreux, VD"
2022-12-11,n/a,"4,5 Zimmer",107 m²,CHF 1 265 000.—,"1803 Chardonne, VD"
2022-12-11,n/a,"3,5 Zimmer",101 m²,CHF 760 000.—,"1844 Villeneuve VD, VD"
2022-12-11,n/a,"4,5 Zimmer",130 m²,CHF 990 000.—,"Sonnhalde 1, 5643 Sins, AG"
2022-12-11,n/a,"2,5 Zimmer",73 m²,CHF 360 000.—,"Avenue des Alpes 15, 3960 Sierre, VS"
2022-12-11,n/a,"3,5 Zimmer",91 m²,CHF 645 000.—,"Bahnhofstrasse 10, 5034 Suhr, AG"
2022-12-11,Neubau,3 Zimmer,106 m²,CHF 850 000.—,"Via Franco Zorzi 4, 6900 Paradiso, TI"
2022-12-11,n/a,"4,5 Zimmer",163 m²,CHF 1 650 000.—,"9037 Speicherschwendi, AR"
2022-12-11,Neubau,"3,5 Zimmer",71 m²,Preis auf Anfrage,"1820 Montreux, VD"
2022-12-11,Neubau,"3,5 Zimmer",75 m²,Preis auf Anfrage,"Rue du Port 31, 1820 Montreux, VD"
2022-12-11,n/a,"5,5 Zimmer",175 m²,Preis auf Anfrage,"8560 Märstetten, TG"
2022-12-11,n/a,4 Zimmer,98 m²,CHF 950 000.—,"1820 Montreux, VD"
2022-12-11,Neubau,"2,5 Zimmer",55 m²,Preis auf Anfrage,"Rue du Port 31, 1820 Montreux, VD"
2022-12-11,n/a,"5,5 Zimmer",106 m²,CHF 825 000.—,"Viale alle Cantine 4, 6850 Mendrisio, TI"
2022-12-11,n/a,"3,5 Zimmer",117 m²,CHF 698 500.—,"Im Brand 1, 8200 Schaffhausen, SH"
2022-12-11,n/a,"5,5 Zimmer",130 m²,CHF 740 000.—,"Kommetsrüti 38, 6110 Wolhusen, LU"
2022-12-11,n/a,"3,5 Zimmer",96 m²,CHF 860 000.—,"Wahlackerstrasse 3, 3052 Zollikofen, BE"
2022-12-11,n/a,"3,5 Zimmer",86 m²,CHF 575 000.—,"1967 Bramois, VS"
2022-12-11,n/a,"4,5 Zimmer",166 m²,CHF 1 370 000.—,"Domleschgerstrasse, 7411 Sils im Domleschg, GR"
2022-12-11,n/a,"4,5 Zimmer",101 m²,CHF 655 000.—,"Chemin de Champerfou 105, 1870 Monthey, VS"
2022-12-11,n/a,"3,5 Zimmer",121 m²,CHF 845 000.—,"Via Giuseppe Cattori 7, 6600 Locarno, TI"
2022-12-11,n/a,"3,5 Zimmer",72 m²,CHF 875 000.—,"Merkurstrasse 6, 4142 Münchenstein, BL"
2022-12-11,n/a,"3,5 Zimmer",84 m²,CHF 525 000.—,"Kornhausgasse 9, 3400 Burgdorf, BE"
2022-12-11,n/a,"4,5 Zimmer",126 m²,CHF 895 000.—,"Bürenstrasse 14, 2504 Biel/Bienne, BE"
2022-12-11,n/a,"4,5 Zimmer",130 m²,CHF 950 000.—,"Rue Ste-Marguerite 5, 1950 Sion, VS"
2022-12-11,n/a,"6,5 Zimmer",275 m²,CHF 2 450 000.—,"3963 Crans-Montana, VS"
2022-12-11,n/a,"5,5 Zimmer",186 m²,CHF 1 620 000.—,"Fahrwangenstrasse 3, 6287 Aesch LU, LU"
2022-12-11,n/a,"5,5 Zimmer",155 m²,CHF 550 000.—,"Rue des Champs 11, 2300 La Chaux-de-Fonds, NE"
2022-12-11,n/a,"5,5 Zimmer",150 m²,CHF 860 000.—,"Grabackerstrasse 23, 8722 Kaltbrunn, SG"
2022-12-11,n/a,"4,5 Zimmer",90 m²,CHF 435 000.—,"Rankwog 2, 4632 Trimbach, SO"
2022-12-11,n/a,"3,5 Zimmer",68 m²,CHF 420 000.—,"1918 La Tzoumaz, VS"
2022-12-11,n/a,"4,5 Zimmer",107 m²,CHF 845 000.—,"Pflanzerfeldstrasse 40, 5445 Eggenwil, AG"
