Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse
2022-12-11,Neubau,"4,5 Zimmer",131 m²,CHF 1 120 000.—,"Rebmoosweg 9, 5200 Brugg AG, AG"
2022-12-11,Neubau,2 Zimmer,59 m²,CHF 750 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,4 Zimmer,124 m²,CHF 1 500 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,3 Zimmer,93 m²,CHF 1 100 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,4 Zimmer,106 m²,CHF 1 380 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,3 Zimmer,93 m²,CHF 1 020 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,4 Zimmer,112 m²,CHF 1 580 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,"4,5 Zimmer",111 m²,CHF 825 000.—,"Pappelweg, 4805 Brittnau, AG"
2022-12-11,Neubau,"4,5 Zimmer",178 m²,CHF 1 190 000.—,"Landbergstrasse 34, 9230 Flawil, SG"
2022-12-11,Neubau,"4,5 Zimmer",132 m²,CHF 2 650 000.—,"Quartnerstrasse 37, 8882 Unterterzen, SG"
2022-12-11,Neubau,"3,5 Zimmer",100 m²,CHF 610 000.—,"Gibelfeldstrasse 48, 2540 Grenchen, SO"
2022-12-11,Neubau,"4,5 Zimmer",129 m²,CHF 1 360 000.—,"1802 Corseaux, VD"
2022-12-11,Neubau,"4,5 Zimmer",108 m²,CHF 785 000.—,"Baslerstrasse 31, 4665 Oftringen, AG"
2022-12-11,Neubau,"4,5 Zimmer",110 m²,CHF 795 000.—,"Baslerstrasse 31, 4665 Oftringen, AG"
2022-12-11,Neubau,"4,5 Zimmer",103 m²,CHF 840 000.—,"Landbergstrasse 34, 9230 Flawil, SG"
2022-12-11,Neubau,"4,5 Zimmer",103 m²,CHF 985 000.—,"Landbergstrasse 34, 9230 Flawil, SG"
2022-12-11,Neubau,"4,5 Zimmer",93 m²,CHF 1 540 000.—,"1162 St-Prex, VD"
2022-12-11,Neubau,55 m²,n/a,CHF 1 040 000.—,"1162 St-Prex, VD"
