Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean,Latitude,Longitude
2022-12-21,serp_responsive#badge_new_building_lite,2.5,55,0,"Rue du Port 31, 1820 Montreux, VD",VD,,clean,46.442212049999995,6.896893654157193
2022-12-21,serp_responsive#badge_new_building_lite,3.5,88,0,"Telmoos 10, 1716 Plaffeien, FR",FR,,clean,46.7372459,7.2921369
2022-12-21,serp_responsive#badge_new_building_lite,3.5,82,0,"Nelkenstrasse 16, 4410 Liestal, BL",BL,,clean,47.4829419,7.7407174
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,0,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,0,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,4.5,140,0,"Myrtenstrasse 6, 5737 Menziken, AG",AG,,clean,47.239907,8.1927404
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,0,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,0,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,unbekannt,5.5,235,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,4.5,146,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,3.5,115,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,2.5,86,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,0,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,0,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,serp_responsive#badge_new_building_lite,5.5,94,0,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,4.5,88,0,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,125,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,124,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,2.5,55,0,"Rue du Port 31, 1820 Montreux, VD",VD,,clean,46.442212049999995,6.896893654157193
2022-12-21,serp_responsive#badge_new_building_lite,3.5,88,0,"Telmoos 10, 1716 Plaffeien, FR",FR,,clean,46.7372459,7.2921369
2022-12-21,serp_responsive#badge_new_building_lite,3.5,82,0,"Nelkenstrasse 16, 4410 Liestal, BL",BL,,clean,47.4829419,7.7407174
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,0,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,0,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,4.5,140,0,"Myrtenstrasse 6, 5737 Menziken, AG",AG,,clean,47.239907,8.1927404
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,0,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,0,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,unbekannt,5.5,235,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,4.5,146,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,3.5,115,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,2.5,86,0,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,0,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,0,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,serp_responsive#badge_new_building_lite,5.5,94,0,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,4.5,88,0,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,125,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,124,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,Construction neuve,5.5,128,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,Construction neuve,3.5,70,0,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,Construction neuve,4.5,125,0,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,3.5,99,0,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,4.5,125,0,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,3.5,99,0,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,5.5,137,0,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,5.5,139,0,"Lilienweg 7, 3426 Aefligen, BE",BE,,clean,47.0935874,7.5592195
2022-12-21,Construction neuve,4.5,152,0,"Neuhofstrasse 21, 6330 Cham, ZG",ZG,,clean,47.177228,8.4528685
2022-12-21,Construction neuve,4.5,143,0,"Ringstrasse 1a, 2560 Nidau, BE",BE,,clean,47.1229905,7.2503489
2022-12-21,Construction neuve,2.5,83,0,"Ringstrasse 1a, 2560 Nidau, BE",BE,,clean,47.1229905,7.2503489
2022-12-21,Construction neuve,2.5,96,0,"Ringstrasse 1b, 2560 Nidau, BE",BE,,clean,unbekant,unbekannt
2022-12-21,Construction neuve,2.5,83,0,"Ringstrasse 1a, 2560 Nidau, BE",BE,,clean,47.1229905,7.2503489
2022-12-21,Construction neuve,4.5,161,0,"Hemishoferstrasse 56, 8260 Stein am Rhein, SH",SH,,clean,47.661114,8.8575266
2022-12-21,Construction neuve,4.5,123,0,"Gartenstrasse, 4242 Laufen, BL",BL,,clean,47.4224637,7.4881321
2022-12-21,Construction neuve,4.5,123,0,"Gartenstrasse, 4242 Laufen, BL",BL,,clean,47.4224637,7.4881321
2022-12-21,Construction neuve,4.5,123,0,"Gartenstrasse, 4242 Laufen, BL",BL,,clean,47.4224637,7.4881321
2022-12-21,Construction neuve,4.5,118,0,"Route de chippis 68A, 1967 Bramois, VS",VS,,clean,46.2371567,7.4037899
2022-12-21,Construction neuve,3.5,93,0,"Bündtenstrasse 7, 5612 Villmergen, AG",AG,,clean,47.350058950000005,8.2450439617986
2022-12-21,Construction neuve,4.5,116,0,"Bündtenstrasse 7, 5612 Villmergen, AG",AG,,clean,47.350058950000005,8.2450439617986
2022-12-21,Construction neuve,2.5,58,0,"9032 Engelburg, SG",SG,,clean,47.4387453,9.3481584
2022-12-21,Construction neuve,4.5,130,0,"Reitistrasse 32, 8322 Madetswil, ZH",ZH,,clean,47.412368099999995,8.790488399999997
2022-12-21,Construction neuve,1.5,48,0,"Rütiweg 2, 3072 Ostermundigen, BE",BE,,clean,46.9588264,7.5004636
2022-12-21,Construction neuve,3.5,113,0,"Rütiweg 2, 3072 Ostermundigen, BE",BE,,clean,46.9588264,7.5004636
2022-12-21,Neubau,2.5,75,0,"Rütiweg 2, 3072 Ostermundigen, BE",BE,,clean,46.9588264,7.5004636
2022-12-21,Neubau,4.5,110,0,"Sonnhalde, 6354 Vitznau, LU",LU,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,104,0,"Dorfstrasse, 8166 Niederweningen, ZH",ZH,,clean,47.5055553,8.3777203
2022-12-21,Neubau,4.5,117,0,"Dorfstrasse, 8166 Niederweningen, ZH",ZH,,clean,47.5055553,8.3777203
2022-12-21,Neubau,3.5,113,0,"6600 Muralto, TI",TI,,clean,46.1737791,8.8011979
2022-12-21,Neubau,5.5,147,0,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,Neubau,4.5,0,0,"Dorfstrasse 16a, 3436 Zollbrück, BE",BE,,clean,46.9754766,7.7444370615289735
2022-12-21,Neubau,5.5,202,0,"Bärenbrunnenweg 1-33, 4144 Arlesheim, BL",BL,,clean,47.4889867,7.6222216
2022-12-21,Neubau,3.5,110,0,"Stäpflistrasse, 4814 Bottenwil, AG",AG,,clean,47.2821709,8.0044547
2022-12-21,unbekannt,3.5,131,0,"3207 Golaten, BE",BE,,clean,46.9863452,7.2442159
2022-12-21,Neubau,3.5,72,0,"Friloweg, 4950 Huttwil, BE",BE,,clean,47.1169193,7.8376391
2022-12-21,Neubau,3.5,109,0,"Bärenbrunnenweg 1-33, 4144 Arlesheim, BL",BL,,clean,47.4889867,7.6222216
2022-12-21,Neubau,5.5,185,0,"Rinikerstrasse 27, 5222 Umiken, AG",AG,,clean,47.485028650000004,8.193180895348902
2022-12-21,Neubau,5.5,155,0,"Rinikerstrasse 27, 5222 Umiken, AG",AG,,clean,47.485028650000004,8.193180895348902
2022-12-21,Neubau,3.5,75,0,"Rue de Bourgogne 17, 2525 Le Landeron, NE",NE,,clean,47.0561435,7.0631177
2022-12-21,Neubau,4.5,124,0,"Salmsacherstrasse 15, 15a, 15b, 8590 Romanshorn, TG",TG,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,109,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,4.5,119,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,4.5,127,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
