Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,Neubau,4.5,127,1300000,"Via Rinaldo Simen 22, 6648 Minusio, TI",TI,"(46.1735902, 8.813805043642244)",clean
2022-12-21,Neubau,4.5,89,490000,"1955 Chamoson, VS",VS,"(46.20323676551899, 7.212383412303798)",clean
2022-12-21,Neubau,3.5,0,1190000,"1009 Pully, VD",VD,"(46.51063480752212, 6.658596731268436)",clean
2022-12-21,Neubau,2.5,0,720000,"1009 Pully, VD",VD,"(46.51063480752212, 6.658596731268436)",clean
2022-12-21,Neubau,3.5,79,462000,"1347 Le Sentier, VD",VD,"(46.606022, 6.2314896)",clean
2022-12-21,Neubau,3.5,103,594000,"1347 Le Sentier, VD",VD,"(46.606022, 6.2314896)",clean
2022-12-21,Neubau,3.5,79,462000,"1347 Le Sentier, VD",VD,"(46.606022, 6.2314896)",clean
2022-12-21,Neubau,2.5,67,462000,"1347 Le Sentier, VD",VD,"(46.606022, 6.2314896)",clean
2022-12-21,Neubau,5.5,170,1450000,"Stockhornstrasse, 3125 Toffen, BE",BE,"(46.8588529, 7.4930631)",clean
2022-12-21,Neubau,4.5,128,895000,"Mühlehoschet 1c, 8867 Niederurnen, GL",GL,"(47.1252236, 9.0487145)",clean
2022-12-21,Neubau,4.5,104,590000,"3960 Corin-de-la-Crête, VS",VS,"(46.285339, 7.5046652)",clean
2022-12-21,Neubau,5.5,170,990000,"1923 Les Marécottes, VS",VS,"(46.1129171, 7.0090229)",clean
2022-12-21,Neubau,2.5,40,240000,"Pré Pury, 1749 Middes, FR",FR,"(None, None)",clean
2022-12-21,Neubau,2.5,55,320000,"Pré Pury, 1749 Middes, FR",FR,"(None, None)",clean
2022-12-21,Neubau,4.5,122,700000,"Pré Pury, 1749 Middes, FR",FR,"(None, None)",clean
2022-12-21,Neubau,2.5,55,315000,"Pré Pury, 1749 Middes, FR",FR,"(None, None)",clean
2022-12-21,Neubau,4.5,81,470000,"1525 Henniez, VD",VD,"(46.7422549, 6.8834048)",clean
2022-12-21,Neubau,4.5,73,470000,"1525 Henniez, VD",VD,"(46.7422549, 6.8834048)",clean
